trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.7, 'e': 47.85000000000012}",20,0,-17.874787495620083,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 47.800000000000125}",20,0,-59.38139279510802,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 47.75000000000013}",20,0,-205.21760390636285,"{0: 9, 1: 1, 2: 3, 3: 5, 4: 2}",0
46,False,"{'a': 0.7, 'e': 47.70000000000013}",25,0,-152.60279350159928,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.7, 'e': 47.650000000000134}",20,0,-76.42302757777728,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
48,False,"{'a': 0.7, 'e': 47.600000000000136}",20,0,-79.74305391085419,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
49,False,"{'a': 0.7, 'e': 47.55000000000014}",25,0,-106.02921616826164,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
50,False,"{'a': 0.7, 'e': 47.50000000000014}",20,0,-163.4295966516397,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
51,False,"{'a': 0.7, 'e': 47.450000000000145}",20,0,-116.47651834544995,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
52,False,"{'a': 0.7, 'e': 47.40000000000015}",20,0,-94.60980420094502,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.7, 'e': 47.35000000000015}",25,0,-184.58388487143654,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
54,False,"{'a': 0.7, 'e': 47.30000000000015}",30,0,-101.13986021531838,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
55,False,"{'a': 0.7, 'e': 47.250000000000156}",20,0,-81.04126416545631,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
56,False,"{'a': 0.7, 'e': 47.20000000000016}",20,0,-76.3446653701646,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0.7, 'e': 47.15000000000016}",20,4,-40.237048584620375,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
58,False,"{'a': 0.7, 'e': 47.100000000000165}",25,0,-85.37846250054031,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
59,False,"{'a': 0.7, 'e': 47.05000000000017}",20,0,-107.37933090161286,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.7, 'e': 47.00000000000017}",25,0,-55.073981644177074,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
61,False,"{'a': 0.7, 'e': 46.95000000000017}",25,0,-222.90268526850176,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
62,False,"{'a': 0.7, 'e': 46.900000000000176}",20,0,-94.24939621509998,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 2}",0
63,False,"{'a': 0.7, 'e': 46.85000000000018}",25,0,-115.78441340117647,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
64,False,"{'a': 0.7, 'e': 46.80000000000018}",25,0,-82.81919215291397,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
